rank,attempt,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,d,temporal_filters,filters_per_kernel,kernels,conv_layers,embed_depth,embed_epochs,embed_lr,lambda_block_cca,source_run_dir,feature_layer,decoder_hidden_dim,decoder_depth,decoder_kernel_size,decoder_dropout,decoder_lr,decoder_weight_decay,decoder_epochs,decoder_epochs_ran,best_embed_val_zeta,best_embed_val_epoch,frozen_val_zeta,run_dir
1,12,0.554089709762533,0.5547184988373751,0.5508283899186277,0.5311111111111111,0.5307865818771456,0.5351980674882031,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.4,0.0003,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/12_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.4
2,15,0.554089709762533,0.5545104785503179,0.5538123869923464,0.5266666666666666,0.5266592295738122,0.5306125387599094,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,64,2,15,0.4,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/15_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch64_cd2_ck15_cdrop0.4
3,9,0.5488126649076517,0.5489639204837581,0.5409565786754039,0.48,0.48066895109507657,0.47617490554704217,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.2,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/09_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.2
4,17,0.5474934036939314,0.547833263675354,0.5502168392036386,0.4688888888888889,0.4702461111416479,0.481106369910924,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,7,0.4,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/17_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck7_cdrop0.4
5,14,0.5468337730870713,0.5466475853559025,0.5392749216781154,0.48444444444444446,0.48273596113390266,0.4824436083348022,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,256,2,15,0.4,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/14_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch256_cd2_ck15_cdrop0.4
6,10,0.5461741424802111,0.5463308074023212,0.5415595272306979,0.5088888888888888,0.5096142122594605,0.5098405607850452,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.3,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/10_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.3
7,4,0.5455145118733509,0.5466425268597851,0.5452167414191177,0.4822222222222222,0.48312514366164805,0.4934691646315448,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.4,0.001,0.001,50,,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/04_ref_d128_tf4_k7-15-31-61_cl1_ed2_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.4
8,11,0.5448548812664907,0.5442040829527022,0.5415382101772611,0.4688888888888889,0.46939383841437515,0.4690420180038241,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.5,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/11_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.5
9,13,0.5441952506596306,0.5445301071737768,0.5392318564780086,0.5066666666666667,0.5078365867491492,0.5039227029535921,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.4,0.001,0.0001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/13_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.4
10,18,0.5408970976253298,0.541358969128247,0.5358006469166823,0.5266666666666666,0.5264771852810521,0.5307424943027472,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,21,0.4,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/18_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck21_cdrop0.4
11,1,0.537598944591029,0.5379011553273427,0.5392489366643115,0.5111111111111111,0.5114845307635805,0.51570957485175,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,31,0.4,0.001,0.001,50,,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/01_ref_d128_tf4_k7-15-31-61_cl1_ed2_elr0.0001_lcca2_ch128_cd2_ck31_cdrop0.4
12,16,0.5310026385224275,0.5317545435246275,0.5233792988430237,0.4911111111111111,0.4909634168736227,0.4869346724001277,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,1,15,0.4,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/16_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd1_ck15_cdrop0.4
13,19,0.5224274406332454,0.5222561390240587,0.525351119474806,0.49333333333333335,0.4932874251085583,0.5024546787720896,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,31,0.3,0.001,0.001,50,50,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/19_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck31_cdrop0.3
14,2,0.4795514511873351,0.4789167272027677,0.4802533459393544,0.5066666666666667,0.5065646502401023,0.50859259704877,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,256,2,31,0.4,0.001,0.001,50,,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/02_ref_d128_tf4_k7-15-31-61_cl1_ed2_elr0.0001_lcca2_ch256_cd2_ck31_cdrop0.4
15,3,0.4393139841688654,0.4395189618970853,0.42876983214553993,0.47333333333333333,0.47510937023730404,0.456152758569896,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,3,31,0.4,0.001,0.001,50,,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/03_ref_d128_tf4_k7-15-31-61_cl1_ed2_elr0.0001_lcca2_ch128_cd3_ck31_cdrop0.4
16,20,0.4017150395778364,0.4029984857682114,0.3747543173973156,0.39555555555555555,0.398403310089295,0.36561346402714046,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,15,0.4,0.003,0.001,50,25,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/20_ref_d128_tf4_k7-15-31-61_cl1_ed2_ep150_elr0.0001_lcca2_ch128_cd2_ck15_cdrop0.4
17,7,0.3872031662269129,0.3885680060900976,0.38308727818663374,0.33555555555555555,0.33507486645712886,0.3376775178525993,128,16,4,"7,15,31,61",2,2,150,0.0001,2.0,,hidden,256,2,31,0.4,0.001,0.001,50,,0.32352956136067706,113,0.019118689000606537,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/07_train_d128_tf16_k7-15-31-61_cl2_ed2_elr0.0001_lcca2_ch256_cd2_ck31_cdrop0.4
18,6,0.37005277044854884,0.3718296497530459,0.3572594340300313,0.35333333333333333,0.3512636291180924,0.34090638288914155,128,8,2,"7,15,31,61",1,2,150,0.0001,2.0,,hidden,256,2,31,0.4,0.001,0.001,50,,0.2939101668695609,150,0.013809923082590103,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/06_train_d128_tf8_k7-15-31-61_cl1_ed2_elr0.0001_lcca2_ch256_cd2_ck31_cdrop0.4
19,8,0.2598944591029024,0.2655256026244473,0.17001804492955677,0.2577777777777778,0.25654884745881285,0.13757892180670228,128,20,5,"15,31,63,127",2,2,150,0.001,1.0,,hidden,512,3,31,0.4,0.001,0.001,50,,0.3124137098590533,15,0.01286820787936449,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/08_train_d128_tf20_k15-31-63-127_cl2_ed2_elr0.001_lcca1_ch512_cd3_ck31_cdrop0.4
20,5,0.2552770448548813,0.25,0.10168155543878087,0.24888888888888888,0.25,0.099644128113879,128,4,1,"7,15,31,61",1,2,150,0.0001,2.0,/home/omo26/Non-Rev-Owen/physionetmi/synth_runs/20260714_112036_d128_h256_dep2_bs128_ep150_lr1e-04_lxp0.0_lbt0.0_lcca2.0_sig10.0_s1,hidden,128,2,63,0.4,0.001,0.001,50,,0.27890753373503685,150,0.019742459058761597,/home/omo26/Non-Rev-Owen/physionetmi/full_frozen_temporal_conv_sweep_89subj/runs/05_ref_d128_tf4_k7-15-31-61_cl1_ed2_elr0.0001_lcca2_ch128_cd2_ck63_cdrop0.4
